How many times a week do you exercise?,How many times a week do you wash your hair?,Allergies?,Linear Math?,"Of the dozen colors, what is your hair color?",Longest Hair Length?,"Of the dozen colors, what is your eye color?",School Club?,Favorite Variety of Cookie?,Favorite flavor of ice cream?,Most Favorite Pizza Topping?,Least Favorite Pizza Topping?,Favorite computer language of those options?,Avg HRS SLEEP,Breakfast Drink,Usual night sleep,Median Sleep,Loaded Question: Watching Sports,Cup Mouth Down or Up?,Elevator Usage?,Left or right foot going up stairs?,Raise one eyebrow?,Vulcan sign of greeting?,Wiggle Ears?,Wiggle Ears Separately?,Watch Hand?,Right or left Footed?  Going up Stairs?,Shirt Color now?,How do you like your eggs?,Can you Juggle?,Skydiver?,Shave Frequency?,Like Dressing Up?,Can you tie a mens tie?,French Braid Hair?,Snack Food Preference?,Glasses of Water?,Do you wear glasses?,Eye lens issues?,Toilet Paper Roll Out Over Front,Do you have a pet?,Are you a dog person?,Rat Person?,Turtle Person?,Like to play Music?,Like Baking?,Like Wood Working?,Sewing?,Gardening?,Photography?,Electronics?,Building Boats?,Doll Houses?,Making Engines?,Making Miniatures?,Raising Chickens?,Horseback riding?,Teaching Others?,Helping Children?,Playing Cards?,Playing Computer Games?,Watching Movies?,Poetry?,Shopping?,What order do you put your socks and pants on?,WantAssignmentToGroup,Watch Hand?
3,7,No,1,Black,SixUnder,Black,NCC,Chocolate chip,Peanut butter pretzel,Ham (or or Canadian Bacon),Hamburger,JavaScript,8,Milk,10,8,More than average,Mouth down,I usually ride the elevator.,right,yes,yes,no,no,left,right,black,Omlette,yes,no,Once a week,Yes,Full Windsor,No,Tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,pants before socks,yes,left
5,3_to_4,No,1,Black,SixUnder,Brown,none,Chocolate chip,roasted almond,Mushrooms,Plain cheese,JavaScript,6,Coffee,6,6,More than average,Mouth up, the stairs are always faster.,right,no,yes,no,no,right,right,red,Omlette,no,no,Twice a week,Yes,Full Windsor,No,Carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
4,7,No,1,Black,SixUnder,Brown,none,Chocolate chip,Strawberry,Mushrooms,Plain cheese,JavaScript,7,Water,7,0,Not at all,Mouth up, the stairs are always faster.,right,no,no,yes,no,left,right,blue,Fried,no,no,Twice a week,Yes,Half Windsor,No,Bacon,3 to 4,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
0,2,No,1,Black,SixUnder,Brown,none,Chocolate chip,chocolate chips,No topping. Just cheese.,Onions ,JavaScript,6,Milk,6,6,More than average,Mouth down, the stairs are always faster.,right,no,no,no,no,left,right,red,Hate eggs,no,no,Once a week,No,Half Windsor,No,Bacon,3 to 4,"No, not yet.","I have perfect vision, so far.",0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,pants before socks,no,left
2,3_to_4,No,1,Black,SixUnder,Brown,Trivia,Chocolate chip,Vanilla,Olives,Pepperoni,JavaScript,7,Milk,8,7,About average,Mouth down, the stairs are always faster.,ambidextrous,no,yes,no,no,left,right,blue,Scrambled,no,no,Once a week,No,No_I_CanKnot,No,Popcorn,5 to 8,Yes.,I use corrective lenses or contacts,0,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,pants before socks,yes,left
2,5_to_6,No,1,Black,SixToTen,Brown,Overly Dramatic Club,Chocolate chip,cookies and cream,Onions,Plain cheese,JavaScript,7,Milk,6,6,More than average,Mouth up,I usually ride the elevator.,right,no,yes,no,no,left,right,blue,Omlette,yes,no,Twice a week,No,Half Windsor,No,Bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",0,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,left
3,1,No,0,Brown,SixUnder,Brown,none,Chocolate chip,strawberry,Onions,Bacon,JavaScript,7,Fruit juice,7,7,About average,Mouth up,Wait. There is an elevator in the building?,right,no,no,no,no,right,right,orange,Hate eggs,no,no,Twice a week,No,Full Windsor,Hair? Never touch the stuff.,Bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",0,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
2,7,Pollens,1,Black,SixUnder,Black,none,Chocolate chip,Mint,Onions,Pepperoni,JavaScript,6,Milk,6,6,About average,Mouth down,I usually ride the elevator.,right,no,yes,no,no,left,right,red,Scrambled,no,no,Shave? Never touch the stuff!,Yes,Full Windsor,No,Carrots and cellery,3 to 4,"No, not yet.","I have perfect vision, so far.",1,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,pants before socks,no,right
3,3_to_4,No,1,Black,SixUnder,Brown,none,Chocolate chip,chocolate,Onions,Anchovies ,JavaScript,6,Milk,8,6,A lot more than average,Mouth down, the stairs are always faster.,right,no,yes,no,no,left,right,white,Omlette,no,no,Once a week,Yes,No_I_CanKnot,No,Carrots and cellery,3 to 4,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,right
2,3_to_4,Scents,1,Black,SixUnder,Black,Science,Chocolate chip,Chocolate,Onions,Spinach,JavaScript,7,Tea,8,6.5,More than average,Mouth down, the stairs are always faster.,right,no,yes,yes,no,right,left,blue,Hate eggs,yes,no,Once a week,No,No_I_CanKnot,Hair? Never touch the stuff.,Carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",1,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,pants before socks,no,left
3,3_to_4,No,1,Black,SixUnder,Black,none,Chocolate chip,chocolate,Onions,Pineapples ,JavaScript,6-8,Water,6-8,6,About average,Mouth up, the stairs are always faster.,right,no,yes,no,no,left,left,blue,Omlette,no,no,Twice a week,Yes,Full Windsor,No,Bacon,5 to 8,Yes.,I use corrective lenses or contacts,1,no,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,no,left
3,5_to_6,No,1,Black,SixUnder,Brown,none,Chocolate chip,Vanilla,Onions,Anchovies ,JavaScript,5.5,Water,6,5,Not at all,Mouth up, the stairs are always faster.,right,yes,yes,yes,no,left,right,red,Scrambled,no,no,Once a day,Yes,Full Windsor,No,Tortilla chips,1 to 2,"No, not yet.","I have perfect vision, so far.",1,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,yes,left
3,2,No,1,Black,SixUnder,Black,Math,Chocolate chip,Chocolate,Pepperoni,Pineapples ,JavaScript,7,Melted icecream,7,6,Somewhat,Mouth up, the stairs are always faster.,right,no,no,no,no,left,right,green,Scrambled,no,no,Once a week,No,No_I_CanKnot,No,Tortilla chips,1 to 2,Yes.,I use corrective lenses or contacts,0,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,socks before pants,yes,left
4,7,Pollens,1,Black,SixUnder,Brown,none,Chocolate chip,Chocolate,Pepperoni,Pineapples ,JavaScript,7,Milk,8,7,Not at all,Mouth up, the stairs are always faster.,right,no,yes,no,no,left,left,blue,Omlette,no,no,Once a week,Yes,No_I_CanKnot,No,Tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,0,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,pants before socks,yes,right
3,7,No,1,Black,SixUnder,Black,SocialService,Chocolate chip,chocolate,Peppers or Sweet Peppers,Anchovies ,JavaScript,8,Milk,8,8,Somewhat,Mouth up,Wait. There is an elevator in the building?,right,no,yes,no,no,left,left,blue,Omlette,no,no,Shave? Never touch the stuff!,Yes,No_I_CanKnot,No,Bacon,3 to 4,"No, not yet.","I have perfect vision, so far.",1,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
3,2,No,1,Black,OverFifteen,Black,none,Chocolate chip,Chocolate,Peppers or Sweet Peppers,Black Olives,JavaScript,6,Tea,6,6,About average,Mouth down, the stairs are always faster.,right,no,yes,no,no,right,right,pink,Omlette,no,no,Once a week,Yes,Half Windsor, of course. Everybody can do that!,Popcorn,5 to 8,"No, not yet.","I have perfect vision, so far.",1,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,pants before socks,yes,right
1,2,No,1,Black,SixToTen,Black,none,Chocolate chip,mint chocolate,Pineapples,Mushrooms,JavaScript,7,Coffee,6-8,6,Somewhat,Mouth up, the stairs are always faster.,right,yes,yes,yes,no,right,left,green,Omlette,no,no,Once a week,No,No_I_CanKnot, of course. Everybody can do that!,Popcorn,3 to 4,Yes.,I use corrective lenses or contacts,1,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,pants before socks,yes,left
0,3_to_4,No,1,Black,SixUnder,Black,none,Chocolate chip,Chocolate,Sausage,Pineapples ,JavaScript,8,Milk,8,8,More than average,Mouth up, the stairs are always faster.,right,no,yes,no,no,left,left,black,Scrambled,yes,no,Shave? Never touch the stuff!,Yes,Full Windsor,No,Bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",1,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,pants before socks,no,right
5,5_to_6,Pollens,1,Black,SixUnder,Black,Debatable,Double chocolate,Coffee coffee buzzbuzz,Mushrooms,Pineapples ,JavaScript,9,Water,9,9,Not at all,Mouth down, the stairs are always faster.,ambidextrous,no,yes,yes,no,left,left,gray,Omlette,no,yes,Twice a week,Yes,Half Windsor,No,Carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",1,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,pants before socks,no,right
6,3_to_4,Pollens,1,Black,SixUnder,Brown,none,Double chocolate,mango,Mushrooms,Pineapples ,JavaScript,7,Water,7,7,Not at all,Mouth up, the stairs are always faster.,right,yes,yes,yes,yes,left,left,gray,Hate eggs,yes,no,Once a week,Yes,Half Windsor,No,Bacon,5 to 8,Yes.,I use corrective lenses or contacts,1,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,pants before socks,no,left
5,2,No,1,Brown,OverTen,Black,Science,Double chocolate,Chocolate,No topping. Just cheese.,Spinach,JavaScript,10,Milk,10,10,Not at all,Mouth down,I always ride the elevator.,right,no,no,no,no,left,right,white,Hate eggs,no,no,Shave? Never touch the stuff!,Yes,Half Windsor,No,Carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",0,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,pants before socks,no,right
5,3_to_4,No,1,Brown,OverTen,Brown,Science,Double chocolate,Chocolate,No topping. Just cheese.,Pineapples ,JavaScript,10,Tea,10,10,Not at all,Mouth down,I always ride the elevator.,right,yes,yes,no,no,right,right,white,Hate eggs,no,no,Once a week,Yes,Full Windsor,No,Bacon,5 to 8,"No, not yet.","I have perfect vision, so far.",1,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,pants before socks,no,right
3,2,Scents,1,Black,OverFifteen,Black,none,Double chocolate,chocolate,Olives,Pineapples ,JavaScript,7,Water,7,6.5,About average,Mouth up, the stairs are always faster.,right,yes,yes,yes,no,left,right,black,Fried,no,no,Shave? Never touch the stuff!,Yes,Full Windsor, of course. Everybody can do that!,Tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,1,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,pants before socks,yes,left
3,3_to_4,No,1,Black,SixUnder,Brown,UN,Double chocolate,Chocolate (Belgian preferred),Onions,Pineapples ,JavaScript,6,Coffee,6,6,About average,Mouth down,Wait. There is an elevator in the building?,right,yes,yes,yes,no,right,right,red,Scrambled,no,no,Twice a week,Yes,Full Windsor,No,Carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,1,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,pants before socks,no,right
4,2,No,0,Brown,OverTen,Black,Community,Double chocolate,chocolate,Onions,Pepperoni,ASSEMBLY (Intel or Motorola),6,Melted icecream,6,6,Somewhat,Mouth down,I usually ride the elevator.,right,no,no,no,no,left,right,white,Omlette,no,no,Once a week,Yes,Half Windsor,No,Bacon,5 to 8,Yes.,I use corrective lenses or contacts,1,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,no,left
0,2,No,1,Black,SixUnder,Black,none,Double chocolate,chocolate,Onions,Mushrooms,JavaScript,7,Tea,7,7,A lot more than average,Mouth down, the stairs are always faster.,right,no,no,no,no,right,right,white,Hate eggs,no,no,Shave? Never touch the stuff!,No,No_I_CanKnot,Hair? Never touch the stuff.,Carrots and cellery,3 to 4,Yes.,I use corrective lenses or contacts,1,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,pants before socks,no,right
2,3_to_4,Pollens,1,Black,OverFifteen,Black,Chess,Double chocolate,chocolate,Pineapples,Mushrooms,JavaScript,7,Coffee,7,28,Somewhat,Mouth up,I always ride the elevator.,right,no,yes,no,no,right,left,black,Omlette,no,no,Once a week,Yes,No_I_CanKnot, of course. Everybody can do that!,Bacon,3 to 4,Yes.,I use corrective lenses or contacts,1,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,pants before socks,no,right
3,2,No,1,Black,OverTen,Brown,none,Double chocolate,butterscotch,Pineapples,Spinach,JavaScript,7,Water,7,7,Somewhat,Mouth up,I usually ride the elevator.,right,no,no,no,no,left,right,blue,Omlette,no,no,Once a week,No,No_I_CanKnot,No,Carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",0,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,pants before socks,no,left
4,3_to_4,Pollens,1,Black,SixUnder,Brown,SpaceCadet,I dont like cookies. They are crumby.,green tea,Pineapples,Mushrooms,PERL,6,Tea,6,7,More than average,Mouth down, the stairs are always faster.,right,yes,yes,no,no,right,left,red,Scrambled,no,no,Shave? Never touch the stuff!,No,Full Windsor,No,Carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",1,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,socks before pants,no,right
1,7,Pollens,1,Black,OverTen,Brown,none,I prefer not to answer.,matcha,Pineapples,Spinach,PASCAL,8,Coffee,10,8,Not at all,Mouth down, the stairs are always faster.,right,no,yes,no,no,right,left,blue,Omlette,no,no,Shave? Never touch the stuff!,No,Half Windsor, of course. Everybody can do that!,Tortilla chips,1 to 2,"No, not yet.","I have perfect vision, so far.",1,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,pants before socks,yes,right
1,3_to_4,No,1,Brown,SixUnder,Green,none,Macadamia nut,Reeses,Mushrooms,Shrimp  ,JavaScript,6.5,Fruit juice,6.5,6,Not at all,Mouth down, the stairs are always faster.,right,no,yes,no,no,right,right,gray,Omlette,no,no,Once a week,Yes,Half Windsor,No,Bacon,5 to 8,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,pants before socks,no,right
4,2,No,1,Black,SixUnder,Brown,GameDev,Macadamia nut,dark chocolate,No topping.Ê Just cheese.,Plain cheese,JavaScript,7,Water,7,7,About average,Mouth down, the stairs are always faster.,right,yes,yes,yes,yes,left,right,black,Omlette,yes,no,Once a week,Yes,No_I_CanKnot,No,Tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,pants before socks,yes,left
3,5_to_6,No,1,Black,SixUnder,Brown,DECA,Macadamia nut,cookies n creme,Pepperoni,Anchovies ,JavaScript,7,Water,7,7,A lot more than average,Mouth up,I usually ride the elevator.,right,no,yes,yes,no,left,left,white,Omlette,no,no,Twice a week,Yes,Half Windsor,No,Tortilla chips,5 to 8,"No, not yet.","I have perfect vision, so far.",1,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,yes,left
3,3_to_4,No,1,Black,OverTen,Green,Math,Oatmeal raisin,mango,Mushrooms,Pineapples ,JavaScript,7,Coffee,7,6,More than average,Mouth down, the stairs are always faster.,right,no,yes,no,no,right,right,pink,Omlette,no,no,Shave? Never touch the stuff!,Yes,No_I_CanKnot,No,Carrots and cellery,5 to 8,"No, not yet.","I have perfect vision, so far.",1,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,pants before socks,no,right
5,2,No,1,Black,SixUnder,Black,none,Oatmeal raisin,vanilla,No topping. Just cheese.,Spinach,JavaScript,6,Coffee,6,6,A lot more than average,Mouth up, the stairs are always faster.,right,no,yes,no,no,right,right,blue,Hate eggs,yes,no,Once a week,Yes,Half Windsor,No,Tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,1,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,pants before socks,yes,right
1,7,Pollens,1,Brown,SixUnder,Brown,Music,Oatmeal raisin,French vanilla,Olives,Onions ,JavaScript,8,Orange juice,8,8,Not at all,Mouth up,I usually ride the elevator.,right,no,yes,no,no,right,right,black,Fried,no,yes,Twice a week,Yes,Half Windsor,No,Popcorn,5 to 8,"No, not yet.","I have perfect vision, so far.",1,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,pants before socks,yes,right
1,1,No,1,Brown,SixToTen,Brown,NCC,Oatmeal raisin,butterscotch,Onions,Spinach,JavaScript,6,Water,7,6.5,Somewhat,Mouth down, the stairs are always faster.,right,no,yes,no,no,left,right,black,Hate eggs,no,no,Shave? Never touch the stuff!,Yes,Full Windsor,No,Tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,0,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,pants before socks,yes,left
2,1,Scents,1,Black,SixUnder,Black,Science,Oatmeal raisin,cookie dough,Peppers or Sweet Peppers,Hamburger,JavaScript,7,Tea,7,7,About average,Mouth down,I usually ride the elevator.,right,no,yes,no,no,right,right,gray,Hate eggs,no,no,Once a week,No,No_I_CanKnot,No,Tortilla chips,5 to 8,"No, not yet.","I have perfect vision, so far.",1,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,pants before socks,yes,right
3,7,No,1,Black,SixUnder,Black,Art,Peanut butter,Vanilla,Onions,Pineapples ,JavaScript,6,Milk,6,6,About average,Mouth up,I usually ride the elevator.,right,no,yes,no,no,left,right,blue,Omlette,no,no,Twice a week,Yes,Full Windsor,No,Tortilla chips,5 to 8,Yes.,I use corrective lenses or contacts,0,no,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,pants before socks,yes,left
4,3_to_4,No,1,Black,SixUnder,Black,none,Sugar cookies,Chocolate,Mushrooms,Pineapples ,Ruby,7,Milk,7,7,More than average,Mouth down, the stairs are always faster.,right,no,yes,no,no,left,right,gray,Omlette,yes,no,Once a week,Yes,Full Windsor,No,Tortilla chips,3 to 4,Yes.,I use corrective lenses or contacts,1,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,pants before socks,yes,left
7,3_to_4,Pollens,1,Black,SixUnder,Black,none,Double chocolate,Chocolate,Olives,Pineapples ,JavaScript,8,Tea,8,8,Somewhat,Mouth down, the stairs are always faster.,right,yes,yes,no,no,right,right,gray,Omlette,no,no,Once a week,Yes,Full Windsor,No,Tortilla chips,3 to 4,Yes.,I use corrective lenses or contacts,0,no,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,yes,pants before socks,yes,right
4,7,Pollens,1,Black,SixToTen,Brown,none,Sugar cookies,Cookies and cream,Peppers or Sweet Peppers,Anchovies ,JavaScript,7,sports drink,7,7,Somewhat,Mouth down, the stairs are always faster.,right,no,yes,no,no,left,right,blue,Omlette,no,no,Shave? Never touch the stuff!,Yes,No_I_CanKnot,No,Popcorn,5 to 8,Yes.,I use corrective lenses or contacts,1,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,pants before socks,yes,left
1,3_to_4,Pollens,1,Black,OverFifteen,Brown,robotics,Macadamia nut,pistachio,Mushrooms,Black Olives,JavaScript,7,Coffee,7,7,Not at all,Mouth up, the stairs are always faster.,right,yes,yes,no,no,left,right,green,Omlette,no,no,Once a week,No,No_I_CanKnot,No,Popcorn,3 to 4,Yes.,I use corrective lenses or contacts,1,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,pants before socks,no,left
